epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6614,1.8579,1.46199,0.55562,2.57596,1.76827,0.25268,0.45362,0.28264,0.11742,0.25278,0.25203,0.236,0.11158,2.51349,1.73495,0.3964,2.28235,1.85949,0.000550917,0.000550917,0.000550917
2,30.3495,1.85613,0.69569,0.32246,1.88051,1.63886,0.49945,0.48929,0.4411,0.14657,0.32878,0.30443,0.32182,0.19877,2.38295,0.95221,0.15547,2.07453,1.84803,0.0011064,0.0011064,0.0011064
3,40.8116,1.90126,0.57351,0.21236,1.88259,1.66051,0.41386,0.44223,0.35591,0.12983,0.2859,0.30941,0.2997,0.21784,2.12736,0.8958,0.11489,2.40318,1.65025,0.00166112,0.00166112,0.00166112
4,51.9219,1.844,0.50128,0.15794,1.8095,1.61028,0.40267,0.38191,0.26957,0.08043,0.40678,0.33943,0.3886,0.25418,2.70553,0.79583,0.13315,2.55155,2.09239,0.00166446,0.00166446,0.00166446
5,63.698,1.83416,0.44723,0.13086,1.77695,1.62168,0.56731,0.46892,0.48668,0.17705,0.41776,0.33041,0.38641,0.2322,2.15234,0.85341,0.05925,2.20833,1.68051,0.00166248,0.00166248,0.00166248
6,76.3049,1.78998,0.38471,0.11156,1.70369,1.57966,0.605,0.55831,0.55662,0.22225,0.40474,0.37996,0.40694,0.32037,2.05758,0.60083,0.06066,1.61909,1.57828,0.00165994,0.00165994,0.00165994
7,87.7578,1.75849,0.37229,0.10365,1.65253,1.55945,0.66775,0.63125,0.64019,0.28884,0.40612,0.36929,0.4112,0.33775,1.81656,0.51322,0.04448,1.59599,1.46849,0.00165684,0.00165684,0.00165684
8,98.3522,1.72859,0.33086,0.09259,1.63124,1.54775,0.65685,0.54362,0.60891,0.27677,0.41547,0.42276,0.44138,0.36483,1.92331,0.46799,0.04488,1.50629,1.53868,0.00165318,0.00165318,0.00165318
9,108.098,1.69907,0.34814,0.09128,1.60606,1.52076,0.70341,0.5905,0.65473,0.26318,0.44185,0.38618,0.43374,0.36828,1.93826,0.47727,0.03715,1.50679,1.52371,0.00164897,0.00164897,0.00164897
10,118.038,1.69971,0.31295,0.08299,1.60259,1.51614,0.70611,0.59187,0.64935,0.28336,0.42909,0.38415,0.42236,0.34584,1.88768,0.54091,0.03944,1.63723,1.50157,0.0016442,0.0016442,0.0016442
11,128.429,1.64762,0.30084,0.07134,1.5203,1.47143,0.66728,0.60419,0.64953,0.28537,0.43574,0.40244,0.43074,0.33896,1.87062,0.56331,0.02938,1.50508,1.47627,0.00163888,0.00163888,0.00163888
12,138.491,1.63541,0.29573,0.07579,1.48317,1.47078,0.66893,0.59521,0.6259,0.28297,0.44076,0.39322,0.44382,0.38348,1.89949,0.44352,0.03976,1.43445,1.4755,0.00163302,0.00163302,0.00163302
13,147.293,1.63335,0.28088,0.06869,1.49344,1.46493,0.72774,0.67446,0.70939,0.35622,0.41905,0.42276,0.44937,0.3917,1.72966,0.35992,0.02851,1.27484,1.37005,0.00162661,0.00162661,0.00162661
14,157.988,1.61034,0.28842,0.07229,1.45806,1.44684,0.71023,0.60667,0.67818,0.29662,0.42912,0.42073,0.45423,0.38017,1.90714,0.42262,0.0287,1.32202,1.48509,0.00161967,0.00161967,0.00161967
15,169.426,1.61308,0.26524,0.0628,1.44645,1.44471,0.74291,0.70455,0.74996,0.35417,0.44755,0.4248,0.45571,0.40656,1.72356,0.37186,0.02937,1.23161,1.37908,0.00161219,0.00161219,0.00161219
16,180.817,1.57787,0.27147,0.06452,1.41103,1.43759,0.71075,0.6312,0.67808,0.32993,0.45914,0.3883,0.43765,0.38171,1.77989,0.43929,0.0322,1.38653,1.39983,0.00160419,0.00160419,0.00160419
17,192.095,1.58403,0.25925,0.06517,1.43417,1.43631,0.73434,0.6805,0.74396,0.33365,0.45692,0.44919,0.46443,0.40413,1.85099,0.35696,0.02481,1.26703,1.41758,0.00159566,0.00159566,0.00159566
18,203.169,1.5968,0.26214,0.06544,1.42172,1.44315,0.74963,0.68576,0.74109,0.3797,0.45635,0.40244,0.45177,0.3949,1.6329,0.4117,0.02397,1.13709,1.32876,0.00158662,0.00158662,0.00158662
19,212.941,1.55251,0.23186,0.05845,1.38902,1.41666,0.78824,0.6436,0.72784,0.34974,0.45641,0.42566,0.46307,0.42081,1.75295,0.32373,0.02066,1.32904,1.43093,0.00157706,0.00157706,0.00157706
20,222.644,1.55805,0.24715,0.06687,1.35714,1.39135,0.79401,0.70076,0.77468,0.39043,0.44969,0.42276,0.45867,0.4218,1.67091,0.31205,0.02222,1.16361,1.33489,0.001567,0.001567,0.001567
21,233.809,1.54049,0.23488,0.05821,1.35253,1.40854,0.74235,0.69644,0.73224,0.36518,0.48743,0.4187,0.46565,0.41385,1.70387,0.31512,0.02683,1.28061,1.34076,0.00155645,0.00155645,0.00155645
22,244.225,1.55878,0.20915,0.05522,1.34753,1.40335,0.78594,0.69965,0.76219,0.37606,0.46674,0.43902,0.46249,0.41412,1.71292,0.32473,0.02203,1.18128,1.3388,0.0015454,0.0015454,0.0015454
23,254.787,1.56195,0.2178,0.05476,1.34837,1.41507,0.7648,0.67577,0.75901,0.39702,0.45399,0.42113,0.46041,0.41833,1.58571,0.30478,0.02133,1.16924,1.31111,0.00153388,0.00153388,0.00153388
24,265.092,1.51894,0.23391,0.05716,1.32018,1.38404,0.76742,0.69016,0.75118,0.41239,0.47719,0.43496,0.46619,0.41752,1.58627,0.35381,0.02289,1.18893,1.28186,0.00152188,0.00152188,0.00152188
25,275.215,1.50609,0.22757,0.05759,1.32848,1.37779,0.76928,0.62981,0.72347,0.38167,0.4626,0.4248,0.45969,0.41062,1.66997,0.36691,0.03684,1.2011,1.35071,0.00150941,0.00150941,0.00150941
26,284.717,1.49379,0.20881,0.05167,1.3064,1.37695,0.78094,0.70598,0.77131,0.40691,0.45943,0.43089,0.4595,0.42153,1.60593,0.30698,0.02021,1.14925,1.30173,0.00149648,0.00149648,0.00149648
27,294.95,1.4955,0.21836,0.0558,1.31721,1.38504,0.74706,0.67645,0.74392,0.39479,0.46748,0.43826,0.46945,0.41531,1.60926,0.32615,0.02167,1.18352,1.32511,0.00148311,0.00148311,0.00148311
28,305.009,1.48863,0.21947,0.05715,1.29852,1.36974,0.7408,0.70884,0.75702,0.40238,0.4657,0.44154,0.47477,0.42657,1.5867,0.29023,0.01919,1.08827,1.29504,0.0014693,0.0014693,0.0014693
29,315.061,1.49499,0.21809,0.05363,1.28074,1.3622,0.80975,0.69512,0.7818,0.39562,0.4668,0.45725,0.47442,0.43187,1.69442,0.28728,0.02233,1.11283,1.339,0.00145505,0.00145505,0.00145505
30,325.895,1.48104,0.20556,0.05088,1.26373,1.36642,0.81026,0.75358,0.80759,0.45318,0.46918,0.44512,0.46661,0.42653,1.51044,0.28095,0.01945,1.01412,1.23797,0.00144039,0.00144039,0.00144039
31,336.777,1.47344,0.19174,0.04894,1.24542,1.36276,0.8454,0.72786,0.82225,0.46927,0.46732,0.44715,0.47066,0.42868,1.4698,0.2777,0.01651,0.99173,1.23106,0.00142531,0.00142531,0.00142531
32,347.429,1.45683,0.18249,0.04957,1.22406,1.35089,0.76743,0.75043,0.79705,0.47071,0.47014,0.44798,0.47037,0.42314,1.44715,0.29868,0.01638,1.00109,1.22568,0.00140984,0.00140984,0.00140984
33,358.113,1.46996,0.18083,0.0491,1.25212,1.35512,0.83129,0.75796,0.81621,0.46068,0.46142,0.43902,0.46705,0.43144,1.47636,0.27233,0.0169,0.97552,1.23884,0.00139398,0.00139398,0.00139398
34,369.115,1.43003,0.20339,0.04684,1.20285,1.33186,0.78851,0.75456,0.81565,0.45943,0.46418,0.44919,0.46841,0.428,1.46659,0.28412,0.01683,1.00115,1.24449,0.00137774,0.00137774,0.00137774
35,379.262,1.44726,0.179,0.04906,1.23099,1.35066,0.82991,0.78205,0.82587,0.46473,0.48316,0.44106,0.4638,0.4273,1.47535,0.27642,0.01717,0.95654,1.24422,0.00136113,0.00136113,0.00136113
36,389.232,1.43283,0.18088,0.04719,1.20619,1.33988,0.81284,0.74596,0.81824,0.4671,0.47364,0.43828,0.47124,0.43985,1.44324,0.23969,0.01639,0.99843,1.20874,0.00134416,0.00134416,0.00134416
37,400.173,1.41979,0.17988,0.04489,1.21062,1.33922,0.72197,0.67972,0.71315,0.34585,0.46236,0.42886,0.46572,0.41339,1.77552,0.31622,0.02009,1.35614,1.3999,0.00132685,0.00132685,0.00132685
38,410.72,1.40438,0.17474,0.0439,1.19869,1.331,0.81349,0.73202,0.79031,0.44186,0.46897,0.42999,0.46507,0.42846,1.51914,0.26521,0.01479,1.00934,1.24729,0.00130921,0.00130921,0.00130921
39,421.279,1.4115,0.18866,0.04546,1.17944,1.32217,0.83585,0.75464,0.82463,0.47103,0.47459,0.45546,0.47569,0.42886,1.45915,0.28801,0.0178,1.01564,1.22381,0.00129125,0.00129125,0.00129125
40,433.162,1.40292,0.15835,0.04695,1.1882,1.3218,0.82427,0.76306,0.82104,0.48264,0.45942,0.44106,0.47283,0.43823,1.41553,0.25579,0.01633,0.95172,1.20144,0.00127298,0.00127298,0.00127298
41,444.96,1.42026,0.17837,0.04497,1.19031,1.32705,0.8351,0.75384,0.82529,0.46904,0.4793,0.44309,0.4728,0.44021,1.42456,0.2535,0.01363,0.97321,1.2024,0.00125442,0.00125442,0.00125442
