epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.9814,1.16075,0,0.18593,0.91863,1.14298,0.94458,0.94078,0.97424,0.73186,0,0,0,0,0.83611,0,0.01445,0.47777,0.875,0.00998322,0.00332774,0.00998322,0.00332774,0.00998322,0.00332774,0.00998322,0.00332774
2,155.413,0.93508,0,0.00845,0.57544,0.9826,0.95186,0.93158,0.97565,0.79917,0,0,0,0,0.68269,0,0.00157,0.48943,0.855,0.0199811,0.00666035,0.0199811,0.00666035,0.0199811,0.00666035,0.0199811,0.00666035
3,203.711,0.93872,0,0.00217,0.57853,0.99221,0.94829,0.9009,0.96437,0.70503,0,0,0,0,0.93105,0,0.00159,0.54974,0.93013,0.0299702,0.00999007,0.0299702,0.00999007,0.0299702,0.00999007,0.0299702,0.00999007
4,257.778,0.87149,0,0.00095,0.54441,0.97281,0.96187,0.94269,0.9777,0.78445,0,0,0,0,0.74108,0,0.00047,0.42648,0.8626,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,311.9,0.78972,0,0.00044,0.48902,0.9478,0.95893,0.94481,0.98369,0.80744,0,0,0,0,0.6361,0,0.00024,0.3924,0.84771,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,360.468,0.74075,0,0.00022,0.46533,0.93464,0.95826,0.95135,0.97867,0.81943,0,0,0,0,0.59651,0,0.00049,0.36192,0.83415,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,410.217,0.70379,0,0.00015,0.44267,0.92414,0.95891,0.9575,0.98735,0.84703,0,0,0,0,0.53163,0,0.00017,0.34949,0.82394,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,458.83,0.67262,0,9e-05,0.42256,0.91594,0.96408,0.94662,0.98535,0.85431,0,0,0,0,0.51687,0,0.00083,0.33264,0.81813,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,504.639,0.65423,0,7e-05,0.41072,0.90791,0.96343,0.95704,0.98983,0.84833,0,0,0,0,0.53289,0,0.00037,0.32897,0.82028,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,559.169,0.6388,0,5e-05,0.39977,0.90312,0.97099,0.95115,0.98872,0.85839,0,0,0,0,0.50474,0,3e-05,0.31547,0.81406,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
