epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.739,1.1784,0.05379,0.20274,0.92695,1.14533,0.94443,0.90917,0.96643,0.77295,0.01766,0.02296,0.00045,0.00037,0.7105,0.04084,0.04632,0.49005,0.88531,0.00998428,0.00332809,0.00998428,0.00332809,0.00998428,0.00332809,0.00998428,0.00332809
2,172.693,0.9581,0.02875,0.02428,0.59379,0.99387,0.94696,0.91071,0.97453,0.78099,0.02017,0.02571,0.00051,0.00048,0.70776,0.02487,0.00903,0.51757,0.88364,0.0199821,0.0066607,0.0199821,0.0066607,0.0199821,0.0066607,0.0199821,0.0066607
3,233.913,0.95679,0.02143,0.01506,0.59356,1.00275,0.93413,0.92844,0.97067,0.70164,0.02145,0.02622,0.00055,0.00049,0.98353,0.0296,0.0058,0.53608,0.96974,0.0299713,0.00999042,0.0299713,0.00999042,0.0299713,0.00999042,0.0299713,0.00999042
4,289.961,0.90626,0.02304,0.01413,0.56621,0.99047,0.93726,0.87049,0.95501,0.75362,0.02643,0.02639,0.00068,0.00059,0.74777,0.0286,0.01125,0.55177,0.91024,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,354.217,0.82234,0.01837,0.01269,0.51009,0.96206,0.94017,0.93981,0.97856,0.81144,0.02266,0.02571,0.00058,0.00055,0.64332,0.01997,0.00578,0.41039,0.85785,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,417.936,0.77973,0.01534,0.01201,0.48589,0.95026,0.96078,0.94447,0.98582,0.82705,0.0257,0.02656,0.00064,0.00061,0.61022,0.01401,0.00328,0.378,0.84868,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,481.112,0.73238,0.01379,0.01021,0.4619,0.93483,0.95828,0.95266,0.98753,0.8247,0.02651,0.02742,0.00067,0.00065,0.62103,0.0117,0.00304,0.38135,0.85005,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,544.114,0.70554,0.01226,0.00974,0.44258,0.92587,0.95935,0.95861,0.988,0.82212,0.0262,0.02776,0.00066,0.00063,0.64771,0.01266,0.0018,0.36367,0.84963,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,607.368,0.68322,0.01143,0.00881,0.4274,0.92065,0.96045,0.95955,0.98812,0.84078,0.02671,0.02759,0.00068,0.00067,0.57276,0.00806,0.00206,0.35315,0.8362,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,670.944,0.66849,0.01068,0.00937,0.4175,0.91323,0.96645,0.96279,0.98967,0.85562,0.02611,0.02725,0.00066,0.00066,0.53065,0.00783,0.00315,0.34743,0.82964,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
