epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4494,1.34032,0.4622,0.55314,1.2025,1.26373,0.93158,0.88559,0.95521,0.70743,0.00521,0.00742,0.00027,0.00025,0.96597,0.01756,0.00547,0.62576,0.93816,0.0033284,0.0033284,0.0033284
2,129.297,1.08028,0.28609,0.3897,0.75774,1.06832,0.93261,0.8591,0.93658,0.67691,0.00485,0.00763,0.0002,0.00019,1.04718,0.02203,0.00754,0.6915,0.98315,0.00666101,0.00666101,0.00666101
3,185.584,1.11981,0.28107,0.3904,0.79738,1.09193,0.93978,0.84386,0.92098,0.61395,0.00284,0.0053,0.00016,0.0001,1.20352,0.04018,0.01689,0.82026,1.0392,0.00999072,0.00999072,0.00999072
4,242.854,1.13229,0.29381,0.40258,0.81009,1.10575,0.92671,0.85742,0.92807,0.65634,0.00287,0.0053,0.0002,0.00015,1.0535,0.03,0.01881,0.76573,1.02309,0.00999023,0.00999023,0.00999023
5,298.821,1.05609,0.23792,0.34767,0.75625,1.08729,0.94293,0.85614,0.93716,0.74647,0.00423,0.00593,0.00017,0.00015,0.83648,0.0323,0.01117,0.61595,0.97291,0.00998264,0.00998264,0.00998264
6,354.592,1.02029,0.21099,0.35097,0.73053,1.07925,0.93898,0.87267,0.94721,0.74284,0.00484,0.00657,0.00047,0.00042,0.88815,0.02022,0.00278,0.61687,0.97974,0.00997288,0.00997288,0.00997288
7,410.27,0.97398,0.17311,0.3118,0.68655,1.05953,0.94511,0.86568,0.94648,0.74128,0.00423,0.00636,0.00036,0.00032,0.87594,0.02209,0.00956,0.60356,0.96609,0.00996097,0.00996097,0.00996097
8,465.374,0.93885,0.16129,0.27011,0.65443,1.04388,0.94986,0.87733,0.95631,0.72107,0.0053,0.0072,0.00043,0.00041,0.93198,0.01339,0.00955,0.58039,0.97148,0.0099469,0.0099469,0.0099469
9,523.404,0.91527,0.15642,0.27085,0.64573,1.03847,0.94945,0.87521,0.95078,0.75843,0.00445,0.00593,0.00029,0.00026,0.83647,0.01511,0.00982,0.57885,0.95762,0.00993068,0.00993068,0.00993068
10,575.006,0.89444,0.14008,0.25162,0.62762,1.0335,0.94533,0.88289,0.95773,0.77454,0.00684,0.00742,0.00034,0.0003,0.78589,0.01618,0.00276,0.56332,0.94314,0.00991232,0.00991232,0.00991232
11,626.481,0.87574,0.13142,0.24607,0.61796,1.02257,0.95711,0.87415,0.95796,0.75799,0.00402,0.00593,0.00036,0.00032,0.84268,0.03289,0.01049,0.5672,0.95175,0.00989183,0.00989183,0.00989183
12,680.612,0.86336,0.11916,0.22874,0.60756,1.02004,0.94409,0.89084,0.96111,0.79445,0.00542,0.00678,0.00055,0.00053,0.71262,0.01583,0.0038,0.50474,0.91865,0.00986922,0.00986922,0.00986922
13,736.121,0.83122,0.1183,0.20014,0.58643,1.00721,0.95392,0.89407,0.96645,0.80613,0.00535,0.00742,0.00044,0.0004,0.69825,0.01989,0.01442,0.48748,0.91177,0.00984449,0.00984449,0.00984449
14,790.386,0.82938,0.10536,0.20514,0.58408,1.00748,0.95578,0.89068,0.96255,0.79976,0.00404,0.00614,0.00043,0.0004,0.69709,0.02012,0.00809,0.50946,0.91433,0.00981765,0.00981765,0.00981765
15,844.064,0.81299,0.0987,0.17718,0.57118,1.00306,0.95276,0.88881,0.96545,0.81038,0.00656,0.00742,0.00041,0.00039,0.67979,0.01291,0.00562,0.49,0.90866,0.00978873,0.00978873,0.00978873
16,897.669,0.80586,0.10086,0.19243,0.56545,0.99837,0.94479,0.89979,0.96403,0.8057,0.00512,0.00699,0.00065,0.0006,0.69975,0.01856,0.00807,0.48962,0.91422,0.00975773,0.00975773,0.00975773
17,949.785,0.79342,0.10068,0.17094,0.55393,0.99415,0.95256,0.89761,0.96781,0.8093,0.00622,0.00699,0.00042,0.00041,0.68059,0.01602,0.00531,0.47812,0.90346,0.00972466,0.00972466,0.00972466
18,1004.61,0.78075,0.09833,0.18804,0.54653,0.98813,0.95294,0.89597,0.9682,0.82898,0.00509,0.00678,0.00054,0.00052,0.6352,0.01176,0.00871,0.46572,0.89365,0.00968955,0.00968955,0.00968955
19,1057.26,0.78415,0.0945,0.17375,0.54655,0.98651,0.96103,0.8882,0.96786,0.83179,0.00567,0.00763,0.00053,0.00051,0.61141,0.0188,0.01131,0.46242,0.89059,0.00965239,0.00965239,0.00965239
20,1109.25,0.76365,0.0961,0.16725,0.53535,0.98257,0.95711,0.89004,0.96544,0.84443,0.005,0.00699,0.00065,0.00058,0.59393,0.01708,0.00898,0.45822,0.88905,0.00961322,0.00961322,0.00961322
21,1164.08,0.75954,0.09157,0.17433,0.53283,0.97965,0.95566,0.89386,0.9645,0.80446,0.0045,0.00614,0.00027,0.00023,0.69664,0.0269,0.01642,0.49037,0.90861,0.00957205,0.00957205,0.00957205
22,1221.1,0.75056,0.09584,0.15019,0.52622,0.9772,0.95076,0.90551,0.96955,0.83348,0.00636,0.00763,0.0007,0.00066,0.61167,0.01539,0.00324,0.44364,0.88761,0.00952889,0.00952889,0.00952889
23,1275.16,0.75006,0.08903,0.18183,0.52697,0.9779,0.95816,0.89873,0.96885,0.82286,0.00637,0.00784,0.00063,0.00062,0.65757,0.01363,0.00641,0.45425,0.89923,0.00948377,0.00948377,0.00948377
24,1329.05,0.7516,0.08097,0.17463,0.52144,0.9776,0.95554,0.89695,0.96732,0.83737,0.00536,0.0072,0.00054,0.00051,0.61956,0.01593,0.01178,0.44622,0.89174,0.00943671,0.00943671,0.00943671
25,1381.07,0.73899,0.08084,0.16842,0.51823,0.97509,0.95634,0.90028,0.97122,0.85351,0.00546,0.00657,0.00065,0.00061,0.57202,0.01826,0.00845,0.42333,0.88495,0.00938772,0.00938772,0.00938772
26,1432.34,0.73524,0.08906,0.16058,0.5159,0.97352,0.95297,0.90212,0.9727,0.85411,0.00589,0.00742,0.00061,0.00056,0.56826,0.02458,0.00541,0.43237,0.8842,0.00933683,0.00933683,0.00933683
27,1484.6,0.72579,0.07914,0.14956,0.5051,0.96904,0.94426,0.90803,0.97222,0.84859,0.00612,0.00742,0.00066,0.00059,0.57543,0.02347,0.00545,0.42757,0.88014,0.00928405,0.00928405,0.00928405
28,1537.52,0.71851,0.07584,0.1608,0.50114,0.96562,0.95254,0.90805,0.9729,0.84367,0.00595,0.00763,0.00063,0.00061,0.59069,0.01297,0.00712,0.42424,0.87958,0.00922942,0.00922942,0.00922942
29,1592.08,0.71925,0.07405,0.14671,0.50172,0.96641,0.94658,0.91985,0.97262,0.85187,0.00642,0.00805,0.00065,0.00063,0.5687,0.00945,0.00412,0.41279,0.87675,0.00917296,0.00917296,0.00917296
30,1648.21,0.71533,0.0778,0.16484,0.4975,0.96463,0.94297,0.91773,0.97429,0.864,0.00593,0.00742,0.00069,0.00065,0.5462,0.01471,0.003,0.41222,0.87212,0.00911469,0.00911469,0.00911469
31,1707.15,0.70812,0.07003,0.13261,0.48973,0.96181,0.94963,0.91463,0.97285,0.84888,0.00662,0.00763,0.00066,0.00064,0.58019,0.01005,0.00453,0.41478,0.87772,0.00905463,0.00905463,0.00905463
32,1763.34,0.70069,0.07142,0.13528,0.48673,0.95731,0.95022,0.91737,0.97432,0.86041,0.00651,0.00742,0.00078,0.00075,0.56076,0.01258,0.00364,0.40378,0.87351,0.00899282,0.00899282,0.00899282
33,1815.64,0.7022,0.06861,0.14347,0.48758,0.95892,0.9543,0.91133,0.97382,0.85379,0.00595,0.00742,0.00072,0.00071,0.5719,0.01167,0.00634,0.4029,0.8739,0.00892928,0.00892928,0.00892928
34,1869.13,0.69842,0.07275,0.12317,0.48541,0.95845,0.95658,0.90996,0.97354,0.85179,0.00625,0.0072,0.00064,0.00061,0.57188,0.01213,0.00527,0.40266,0.86921,0.00886404,0.00886404,0.00886404
35,1921.85,0.69524,0.06576,0.13407,0.48203,0.95925,0.95343,0.91512,0.97562,0.86252,0.00677,0.00805,0.00072,0.00068,0.54702,0.0155,0.00283,0.39212,0.86888,0.00879713,0.00879713,0.00879713
36,1975.42,0.69065,0.0684,0.13998,0.47945,0.95451,0.94224,0.92669,0.97556,0.86932,0.00682,0.00847,0.00074,0.0007,0.52316,0.01635,0.00496,0.39272,0.86432,0.00872857,0.00872857,0.00872857
