epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.686,1.06097,2.21873,1.35849,0.39373,0.3414,0.31211,0.15049,1.66029,2.78236,1.95858,0.000660494,0.000660494,0.000660494
2,413.301,1.27989,2.0347,1.5074,0.32976,0.48925,0.31746,0.13363,1.7764,3.2931,2.25652,0.00131402,0.00131402,0.00131402
3,601.895,1.41181,2.03112,1.60256,0.28824,0.31244,0.23225,0.09321,2.04152,3.05084,2.47623,0.00195435,0.00195435,0.00195435
4,2088.51,1.39664,1.94471,1.58099,0.21733,0.33871,0.18829,0.07244,1.96322,2.95286,2.36671,0.0019406,0.0019406,0.0019406
5,2313.19,1.36397,1.85845,1.57239,0.35472,0.38978,0.27786,0.13332,1.7056,2.79517,2.04158,0.0019208,0.0019208,0.0019208
6,2488.2,1.33872,1.79722,1.54465,0.43756,0.54583,0.48663,0.23378,1.66836,2.29128,2.06106,0.001901,0.001901,0.001901
7,2664.89,1.30893,1.70323,1.51837,0.25927,0.42742,0.24211,0.10028,1.91567,2.5727,2.25088,0.0018812,0.0018812,0.0018812
8,2842.62,1.34969,1.75938,1.54658,0.46027,0.49462,0.47487,0.24091,1.57853,1.89278,1.90229,0.0018614,0.0018614,0.0018614
9,3017.87,1.26912,1.64341,1.48221,0.48692,0.5,0.47241,0.22518,1.54493,2.01118,1.91554,0.0018416,0.0018416,0.0018416
10,3191.57,1.23075,1.57839,1.46159,0.46475,0.54619,0.50211,0.25161,1.47052,1.79198,1.82555,0.0018218,0.0018218,0.0018218
11,3366.14,1.24921,1.53988,1.45439,0.51126,0.53495,0.50081,0.26728,1.42767,1.7855,1.80252,0.001802,0.001802,0.001802
12,3590.05,1.20501,1.5184,1.43709,0.63246,0.56989,0.62328,0.3338,1.3799,1.57117,1.7434,0.0017822,0.0017822,0.0017822
13,3827.51,1.13857,1.4578,1.3956,0.61004,0.59409,0.62057,0.34721,1.40046,1.55918,1.75571,0.0017624,0.0017624,0.0017624
14,4003.42,1.15272,1.45597,1.41734,0.57342,0.62903,0.61127,0.32231,1.4415,1.70172,1.81904,0.0017426,0.0017426,0.0017426
15,4163.24,1.16733,1.45438,1.4192,0.65252,0.60484,0.64593,0.34639,1.43099,1.54378,1.78771,0.0017228,0.0017228,0.0017228
16,4325.56,1.11205,1.41189,1.40072,0.66285,0.63421,0.66014,0.37845,1.32068,1.43334,1.68729,0.001703,0.001703,0.001703
17,4484.82,1.10286,1.36529,1.38874,0.64905,0.61646,0.68152,0.40803,1.28816,1.37916,1.64862,0.0016832,0.0016832,0.0016832
18,4648.3,1.12705,1.44343,1.39788,0.59382,0.60484,0.61489,0.35375,1.34273,1.46427,1.69462,0.0016634,0.0016634,0.0016634
19,4808.94,1.07374,1.33307,1.35106,0.66322,0.59946,0.64993,0.36679,1.33172,1.45206,1.70122,0.0016436,0.0016436,0.0016436
20,4968.75,1.08925,1.30918,1.36967,0.68539,0.6969,0.70756,0.40497,1.32779,1.42831,1.68925,0.0016238,0.0016238,0.0016238
21,5159.76,1.0675,1.29184,1.34312,0.5975,0.55914,0.56763,0.29275,1.431,1.78388,1.76718,0.001604,0.001604,0.001604
22,5330.35,1.07091,1.34863,1.35483,0.63401,0.61936,0.64706,0.37838,1.31608,1.38742,1.68678,0.0015842,0.0015842,0.0015842
23,5496.65,1.05502,1.31338,1.35527,0.66703,0.62468,0.66385,0.37839,1.27951,1.39007,1.64598,0.0015644,0.0015644,0.0015644
24,5665.76,1.08737,1.31624,1.38541,0.71766,0.64229,0.69914,0.39905,1.34609,1.32718,1.70329,0.0015446,0.0015446,0.0015446
25,5833.69,1.07057,1.32553,1.37155,0.69962,0.6371,0.69834,0.42055,1.27669,1.26958,1.65476,0.0015248,0.0015248,0.0015248
26,6000.83,1.04155,1.28586,1.33153,0.72798,0.66129,0.72945,0.4434,1.22114,1.24188,1.59663,0.001505,0.001505,0.001505
27,6171.47,1.01579,1.24632,1.31888,0.71154,0.6129,0.70562,0.44435,1.20398,1.33802,1.593,0.0014852,0.0014852,0.0014852
28,6339.68,0.9821,1.24832,1.30976,0.69864,0.66935,0.70228,0.42151,1.23242,1.39585,1.65254,0.0014654,0.0014654,0.0014654
29,6511.1,1.0229,1.22069,1.32381,0.70443,0.71774,0.75011,0.47676,1.16918,1.20534,1.54968,0.0014456,0.0014456,0.0014456
30,6686.89,1.02098,1.20985,1.32367,0.66617,0.69737,0.72988,0.44942,1.24013,1.23993,1.60803,0.0014258,0.0014258,0.0014258
31,6849.55,1.02647,1.17087,1.33293,0.70295,0.72521,0.73134,0.45217,1.22373,1.20376,1.58235,0.001406,0.001406,0.001406
32,7020.2,0.9891,1.15175,1.30766,0.71248,0.69355,0.71385,0.43397,1.18677,1.24212,1.57034,0.0013862,0.0013862,0.0013862
33,7192.34,0.98842,1.15761,1.30631,0.70694,0.7198,0.74909,0.46634,1.19047,1.28201,1.58416,0.0013664,0.0013664,0.0013664
34,7352.78,0.98408,1.13899,1.31446,0.75186,0.67604,0.75429,0.42969,1.26235,1.22676,1.62659,0.0013466,0.0013466,0.0013466
35,7512.45,0.96822,1.12945,1.2919,0.76858,0.68817,0.75793,0.47078,1.219,1.21647,1.60058,0.0013268,0.0013268,0.0013268
36,7672.74,0.9657,1.14041,1.29421,0.70917,0.67473,0.7361,0.44516,1.18814,1.20079,1.56633,0.001307,0.001307,0.001307
37,7832.83,0.93738,1.08168,1.2659,0.71342,0.72043,0.77899,0.48277,1.16667,1.14718,1.54776,0.0012872,0.0012872,0.0012872
38,7994.62,0.96729,1.15343,1.28819,0.76479,0.69052,0.76289,0.46675,1.20677,1.13292,1.59559,0.0012674,0.0012674,0.0012674
39,8159.89,0.9406,1.10406,1.28072,0.72805,0.72686,0.7407,0.45864,1.16769,1.1859,1.55018,0.0012476,0.0012476,0.0012476
40,8329.27,0.92906,1.10227,1.2609,0.73351,0.71237,0.75977,0.48064,1.12984,1.13203,1.51163,0.0012278,0.0012278,0.0012278
41,8496.89,0.95319,1.09821,1.27997,0.76671,0.73118,0.79346,0.49684,1.18068,1.08655,1.5859,0.001208,0.001208,0.001208
42,8664.94,0.93897,1.07959,1.273,0.74333,0.75,0.79775,0.50106,1.14263,1.03438,1.53896,0.0011882,0.0011882,0.0011882
